#--- 	  	 LEM Line data  --- 
#(1) Z              (2) C              (3) T              (4) h           (5) dCdT           (6) dedt            (7) rho          (8) FOUND     (9) Found_dcdt                  (10) Y_O2                  (11) Y_H2O                  (12) Y_CH4                  (13) Y_CO                  (14) Y_CO2                  (15) Y_N2
0                  0                300            1868.44                  0                  0            1.17197                  1                  0           0.233007                  0        5.84097e-07                  0                  0           0.766992
0           0.010101                300            1868.74                  0                  0            1.17197                  1                  0           0.233007        1.32508e-08        5.78197e-07        3.99756e-53        1.61853e-08           0.766992
0           0.020202            300.001            1869.03                  0                  0            1.17197                  1                  0           0.233007        2.65016e-08        5.72297e-07        7.99512e-53        3.23706e-08           0.766992
0           0.030303            300.001            1869.33                  0                  0            1.17197                  1                  0           0.233007        3.97524e-08        5.66397e-07        1.19927e-52        4.85558e-08           0.766992
0           0.040404            300.001            1869.62                  0                  0            1.17197                  1                  0           0.233007        5.30032e-08        5.60497e-07        1.59902e-52        6.47411e-08           0.766992
0          0.0505051            300.001            1869.92                  0                  0            1.17197                  1                  0           0.233007         6.6254e-08        5.54597e-07        1.99878e-52        8.09264e-08           0.766992
0          0.0606061            300.002            1870.22                  0                  0            1.17197                  1                  0           0.233007        7.95047e-08        5.48697e-07        2.39853e-52        9.71117e-08           0.766992
0          0.0707071            300.002            1870.51                  0                  0            1.17197                  1                  0           0.233007        9.27555e-08        5.42797e-07        2.79829e-52        1.13297e-07           0.766992
0          0.0808081            300.002            1870.81                  0                  0            1.17196                  1                  0           0.233007        1.06006e-07        5.36897e-07        3.19805e-52        1.29482e-07           0.766992
0          0.0909091            300.003             1871.1                  0                  0            1.17196                  1                  0           0.233007        1.19257e-07        5.30997e-07         3.5978e-52        1.45668e-07           0.766992
0            0.10101            300.003             1871.4                  0                  0            1.17196                  1                  0           0.233007        1.32508e-07        5.25097e-07        3.99756e-52        1.61853e-07           0.766992
0           0.111111            300.003            1871.69                  0                  0            1.17196                  1                  0           0.233007        1.45759e-07        5.19197e-07        4.39731e-52        1.78038e-07           0.766992
0           0.121212            300.004            1871.99                  0                  0            1.17196                  1                  0           0.233007        1.59009e-07        5.13297e-07        4.79707e-52        1.94223e-07           0.766992
0           0.131313            300.004            1872.28                  0                  0            1.17196                  1                  0           0.233007         1.7226e-07        5.07397e-07        5.19683e-52        2.10409e-07           0.766992
0           0.141414            300.004            1872.58                  0                  0            1.17196                  1                  0           0.233007        1.85511e-07        5.01498e-07        5.59658e-52        2.26594e-07           0.766992
0           0.151515            300.004            1872.87                  0                  0            1.17196                  1                  0           0.233007        1.98762e-07        4.95598e-07        5.99634e-52        2.42779e-07           0.766992
0           0.161616            300.005            1873.17                  0                  0            1.17196                  1                  0           0.233007        2.12013e-07        4.89698e-07        6.39609e-52        2.58964e-07           0.766992
0           0.171717            300.005            1873.46                  0                  0            1.17195                  1                  0           0.233007        2.25263e-07        4.83798e-07        6.79585e-52         2.7515e-07           0.766992
0           0.181818            300.005            1873.76                  0                  0            1.17195                  1                  0           0.233007        2.38514e-07        4.77898e-07         7.1956e-52        2.91335e-07           0.766992
0           0.191919            300.006            1874.05                  0                  0            1.17195                  1                  0           0.233007        2.51765e-07        4.71998e-07        7.59536e-52         3.0752e-07           0.766992
0            0.20202            300.006            1874.35                  0                  0            1.17195                  1                  0           0.233007        2.65016e-07        4.66098e-07        7.99512e-52        3.23706e-07           0.766992
0           0.212121            300.006            1874.64                  0                  0            1.17195                  1                  0           0.233007        2.78267e-07        4.60198e-07        8.39487e-52        3.39891e-07           0.766992
0           0.222222            300.006            1874.94                  0                  0            1.17195                  1                  0           0.233007        2.91517e-07        4.54298e-07        8.79463e-52        3.56076e-07           0.766992
0           0.232323            300.007            1875.23                  0                  0            1.17195                  1                  0           0.233007        3.04768e-07        4.48398e-07        9.19438e-52        3.72261e-07           0.766992
0           0.242424            300.007            1875.53                  0                  0            1.17195                  1                  0           0.233007        3.18019e-07        4.42498e-07        9.59414e-52        3.88447e-07           0.766992
0           0.252525            300.007            1875.82                  0                  0            1.17195                  1                  0           0.233007         3.3127e-07        4.36598e-07        9.99389e-52        4.04632e-07           0.766992
0           0.262626            300.008            1876.12                  0                  0            1.17194                  1                  0           0.233007        3.44521e-07        4.30698e-07        1.03937e-51        4.20817e-07           0.766992
0           0.272727            300.008            1876.41                  0                  0            1.17194                  1                  0           0.233007        3.57771e-07        4.24798e-07        1.07934e-51        4.37003e-07           0.766992
0           0.282828            300.008            1876.71                  0                  0            1.17194                  1                  0           0.233007        3.71022e-07        4.18898e-07        1.11932e-51        4.53188e-07           0.766992
0           0.292929            300.008               1877                  0                  0            1.17194                  1                  0           0.233007        3.84273e-07        4.12998e-07        1.15929e-51        4.69373e-07           0.766992
0            0.30303            300.009             1877.3                  0                  0            1.17194                  1                  0           0.233007        3.97524e-07        4.07098e-07        1.19927e-51        4.85558e-07           0.766992
0           0.313131            300.009            1877.59                  0                  0            1.17194                  1                  0           0.233007        4.10774e-07        4.01198e-07        1.23924e-51        5.01744e-07           0.766992
0           0.323232            300.009            1877.89                  0                  0            1.17194                  1                  0           0.233007        4.24025e-07        3.95298e-07        1.27922e-51        5.17929e-07           0.766992
0           0.333333             300.01            1878.18                  0                  0            1.17194                  1                  0           0.233007        4.37276e-07        3.89398e-07        1.31919e-51        5.34114e-07           0.766992
0           0.343434             300.01            1878.48                  0                  0            1.17193                  1                  0           0.233007        4.50527e-07        3.83498e-07        1.35917e-51        5.50299e-07           0.766992
0           0.353535             300.01            1878.77                  0                  0            1.17193                  1                  0           0.233007        4.63778e-07        3.77598e-07        1.39915e-51        5.66485e-07           0.766992
