# Time 0
# eta = 0.002
# length = 0.000995963
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25575e-05        2.51151e-05        2.84215e-05             101325            1.13165        2.84215e-05                300                  0                  0                  0        0.000568869        1.00068e-26         9.2072e-29        3.57484e-26           0.222598        4.55551e-25        4.89842e-23        1.74596e-26        2.02707e-28        1.42447e-29        4.20332e-26          0.0446421        2.71045e-25        5.97701e-23        7.54342e-29        2.86042e-27        1.05524e-29            0.73276
1        3.76726e-05        2.51151e-05        2.84215e-05             101325            1.13165        2.84215e-05                300                  0        5.06038e-22        4.27133e-20        3.55138e-13        1.15948e-25        1.10286e-27        4.12162e-25           0.222598         5.2591e-24        5.66742e-22        2.03913e-25        2.46966e-27        1.73549e-28        4.94257e-25          0.0446421        3.14084e-24        6.91513e-22        9.19042e-28        3.48496e-26        1.28564e-28            0.73276
2        6.27876e-05        2.51151e-05        2.84215e-05             101325            1.13165        2.84215e-05                300                  0        5.81494e-21        4.94865e-19        4.25703e-12        1.44264e-24        1.41867e-26        5.10174e-24           0.222598        6.51855e-23        7.04076e-21        2.55789e-24        3.22875e-26        2.26893e-27        6.24281e-24          0.0446421        3.90823e-23        8.59056e-21        1.20153e-26        4.55612e-25        1.68081e-27            0.73276
3        8.79027e-05        2.51151e-05        2.84215e-05             101325            1.13165        2.84215e-05                300                  0        7.19402e-20        6.17414e-18        5.49261e-11        1.79151e-23        1.82552e-25        6.29917e-23           0.222598        8.06071e-22        8.72865e-20        3.20497e-23        4.22358e-25        2.96802e-26        7.88034e-23          0.0446421        4.85381e-22        1.06496e-19        1.57174e-25        5.95992e-24        2.19869e-26            0.73276
4        0.000113018        2.51151e-05        2.84215e-05             101325            1.13165        2.84215e-05                300                  0         8.8804e-19        7.69244e-17        7.08949e-10        2.21838e-22        2.34837e-24        7.75006e-22           0.222598        9.93421e-21        1.07881e-18        4.00789e-22        5.52485e-24        3.88245e-25        9.93417e-22          0.0446421        6.01097e-21        1.31619e-18        2.05598e-24        7.79614e-23        2.87609e-25            0.73276
5        0.000138133        2.51151e-05        2.84215e-05             101325            1.13165        2.84215e-05                300                  0        1.09288e-17        9.56437e-16        9.14989e-09        2.73817e-21        3.02005e-23        9.49686e-21           0.222598        1.21968e-19        1.32878e-17        5.00126e-21        7.22689e-23        5.07852e-24        1.25053e-20          0.0446421         7.4203e-20        1.62109e-17        2.68937e-23        1.01979e-21        3.76213e-24            0.73276
6        0.000163248        2.51151e-05        2.84215e-05             101325            1.13165        2.84215e-05                300                  0        1.34038e-16        1.18649e-14        1.18081e-07        3.50941e-20        4.05487e-22        1.20669e-19           0.222598        1.55334e-18        1.69879e-16        6.49226e-20        9.88055e-22        6.94331e-23        1.63968e-19          0.0446421        9.51169e-19        2.07239e-16        3.67689e-22        1.39425e-20        5.14356e-23            0.73276
7        0.000188363        2.51151e-05        2.84215e-05             101325            1.13165        2.84215e-05                300                  0        1.99202e-14        1.81178e-12        1.96606e-05        4.49269e-19        5.46178e-21        1.52937e-18           0.222598        1.97404e-17         2.1685e-15        8.43232e-19        1.35577e-20        9.52734e-22        2.15338e-18          0.0446421        1.21787e-17        2.64525e-15        5.04528e-21        1.91313e-19        7.05779e-22            0.73276
8        0.000213478        2.51151e-05        2.84215e-05             101325            1.13165        2.84215e-05                300                  0        2.41098e-13        2.22887e-11        0.000253656        5.70537e-18        7.33116e-20         1.9197e-17           0.222598        2.48569e-16        2.74469e-14         1.0885e-17        1.85432e-19        1.30308e-20        2.81384e-17          0.0446421        1.54689e-16        3.34789e-14        6.90056e-20        2.61663e-18        9.65311e-21            0.73276
9        0.000238593        2.51151e-05        2.84215e-05             101325            1.13165        2.84215e-05                300                  0        2.90113e-12         2.7325e-10         0.00327232        7.18847e-17        9.82607e-19         2.3858e-16           0.222598        3.10113e-15        3.44479e-13        1.39695e-16        2.53044e-18         1.7782e-19        3.65855e-16          0.0446421        1.94943e-15        4.20154e-13        9.41661e-19        3.57069e-17        1.31728e-19            0.73276
