# Time 0.000665
# eta = 0.002
# length = 0.000288808
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25591e-05        2.51182e-05        2.83557e-05             101325            1.12889        2.83557e-05            300.733                  0                  0                  0                  0        4.84469e-08        3.36322e-17        1.30013e-12           0.222536        2.14958e-12        3.53283e-05        3.03742e-08        3.72101e-17        1.93038e-18        3.29281e-07          0.0446258        1.63387e-06        4.07455e-05        2.66008e-17        1.72396e-07        4.23708e-21            0.73276
1        3.76773e-05        2.51182e-05        2.83267e-05             101325            1.12773        2.83267e-05            301.042                  0        0.000361175        1.78827e-07             6.5793        7.24103e-08        5.51273e-17        1.50612e-12            0.22251        3.08364e-12        5.02812e-05        4.26635e-08        7.36834e-17        3.82745e-18        4.70714e-07          0.0446189         2.4704e-06        5.77938e-05        5.30557e-17        2.52965e-07        8.45215e-21            0.73276
2        6.27955e-05        2.51182e-05        2.82823e-05             101325            1.12597        2.82823e-05            301.514                  0        0.000495037        2.53826e-07            11.9847        1.13896e-07        8.79893e-17        1.51057e-12            0.22247        4.55708e-12        7.32846e-05        6.09061e-08        1.60691e-16        8.36434e-18        6.90817e-07          0.0446083        3.95369e-06        8.37529e-05        1.17037e-16        3.86804e-07        1.86577e-20            0.73276
3        8.79138e-05        2.51182e-05        2.82125e-05             101325            1.12319        2.82125e-05            302.258                  0        0.000720837        3.91743e-07            24.6134        1.85766e-07        1.39936e-16        1.35835e-12           0.222406        6.95015e-12        0.000109699        8.91006e-08        3.69488e-16        1.92975e-17         1.0421e-06          0.0445915        6.57154e-06        0.000124478        2.73052e-16        6.11344e-07        4.37154e-20            0.73276
4        0.000113032        2.51182e-05        2.81072e-05             101325              1.119        2.81072e-05             303.39                  0         0.00107588        6.36256e-07            53.3454        3.05724e-07        2.28027e-16        1.08829e-12           0.222309        1.07304e-11        0.000165283        1.31281e-07        8.62065e-16        4.52434e-17        1.58229e-06          0.0445657        1.10232e-05        0.000186018        6.48465e-16         9.7421e-07        1.04882e-19            0.73276
5         0.00013815        2.51182e-05         2.7953e-05             101325            1.11286         2.7953e-05            305.062                  0         0.00161442        1.07301e-06            117.541        5.01102e-07         3.9936e-16        7.69136e-13           0.222165        1.66267e-11         0.00024787         1.9291e-07        2.00179e-15        1.05797e-16        2.39052e-06          0.0445274        1.84134e-05        0.000276394        1.53879e-15        1.54578e-06        2.53629e-19            0.73276
6        0.000163268        2.51182e-05        2.77332e-05             101325            1.10411        2.77332e-05            307.477                  0         0.00240917         1.8711e-06            257.502        8.12968e-07        7.77635e-16        4.74555e-13           0.221957        2.58114e-11        0.000367818        2.81295e-07         4.5911e-15        2.45048e-16        3.57199e-06          0.0444716        3.04418e-05        0.000405881         3.6248e-15        2.42723e-06        6.16213e-19            0.73276
7        0.000188387        2.51182e-05        2.74284e-05             101325            1.09197        2.74284e-05             310.89                  0         0.00355474        3.37477e-06            553.933        1.30134e-06          1.668e-15        2.52759e-13           0.221662        4.02424e-11         0.00053844        4.06172e-07        1.03882e-14        5.62037e-16        5.26237e-06           0.044392        4.96511e-05        0.000587193         8.4779e-15        3.75997e-06        1.51039e-18            0.73276
8        0.000213505        2.51182e-05        2.70175e-05             101325            1.07562        2.70175e-05            315.611                  0         0.00517044        6.30293e-06            1162.27        2.05124e-06        3.81216e-15        1.15444e-13           0.221252         6.3355e-11        0.000776327        5.80551e-07         2.3259e-14        1.28142e-15        7.63072e-06          0.0442807        7.97287e-05        0.000835461        1.97754e-14        5.73551e-06        3.76796e-18            0.73276
9        0.000238623        2.51182e-05        2.64799e-05             101325            1.05421        2.64799e-05            322.009                  0         0.00740171        1.22018e-05            2370.63        3.17889e-06        9.04817e-15        4.52335e-14           0.220693         1.0141e-10         0.00110146        8.21971e-07        5.17857e-14        2.92097e-15        1.08801e-05          0.0441281        0.000125836         0.00116791        4.63009e-14        8.60415e-06        9.67109e-18            0.73276
10        0.000263741        2.51182e-05        2.57986e-05             101325            1.02709        2.57986e-05            330.496                  0          0.0104193        2.44895e-05            4693.77        4.83684e-06        2.20913e-14         1.5704e-14           0.219948        1.66166e-10         0.00153704        1.15439e-06        1.15265e-13        6.69604e-15        1.52442e-05           0.043923        0.000194909         0.00160323        1.09534e-13          1.268e-05        2.58036e-17            0.73276
