# Time 0.000865
# eta = 0.002
# length = 1.44415e-05
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25592e-05        2.51184e-05        2.82976e-05             101325            1.12657        2.82976e-05            301.352                  0                  0                  0         5.0262e-12        1.45391e-07        2.72792e-17        2.02534e-13           0.222482        4.11241e-12        6.64199e-05        5.09417e-08        1.37384e-16        7.14588e-18        6.39721e-07          0.0446113         5.4912e-06         7.3296e-05        1.04056e-16        4.30704e-07        1.58749e-20            0.73276
1        3.76776e-05        2.51184e-05        2.82501e-05             101325            1.12468        2.82501e-05            301.859                  0        0.000664046        3.63785e-07            20.4593         2.0805e-07        4.71467e-17        2.28341e-13           0.222439        5.69185e-12        9.14746e-05        6.95723e-08        2.51646e-16        1.31161e-17        8.82799e-07          0.0445996        7.92776e-06        0.000100444        1.92212e-16        6.07168e-07        2.94067e-20            0.73276
2        6.27959e-05        2.51184e-05        2.81852e-05             101325            1.12209        2.81852e-05            302.553                  0         0.00087818        5.04222e-07            35.2379          3.052e-07        8.36168e-17         2.1757e-13           0.222379         7.9194e-12        0.000126067        9.45697e-08        4.84802e-16        2.53434e-17        1.22054e-06          0.0445835        1.17928e-05        0.000137238        3.75323e-16        8.69535e-07        5.76279e-20            0.73276
3        8.79143e-05        2.51184e-05        2.80906e-05             101325            1.11833        2.80906e-05             303.57                  0         0.00120658        7.44539e-07            65.5544        4.61104e-07         1.5564e-16        1.82553e-13           0.222291         1.1284e-11        0.000177091        1.30735e-07        9.71667e-16        5.10109e-17         1.7206e-06          0.0445597        1.80978e-05         0.00019068        7.65339e-16        1.27801e-06        1.18384e-19            0.73276
4        0.000113033        2.51184e-05        2.79562e-05             101325            1.11298        2.79562e-05            305.027                  0         0.00168645        1.14981e-06            126.459        7.03652e-07        3.03245e-16        1.34598e-13           0.222165        1.62945e-11        0.000250578        1.82045e-07        1.98131e-15        1.04639e-16        2.44259e-06          0.0445253        2.80563e-05        0.000266442        1.59336e-15        1.89596e-06        2.49952e-19            0.73276
5        0.000138151        2.51184e-05        2.77697e-05             101325            1.10555        2.77697e-05            307.072                  0          0.0023716         1.8443e-06            247.499         1.0727e-06        6.13718e-16        8.68019e-14           0.221987        2.37329e-11        0.000354408         2.5377e-07        4.05848e-15        2.16109e-16        3.46404e-06          0.0444765        4.34331e-05        0.000371687        3.34546e-15        2.81098e-06        5.37303e-19            0.73276
6        0.000163269        2.51184e-05        2.75164e-05             101325            1.09547        2.75164e-05            309.894                  0         0.00333093        3.06331e-06             484.25        1.62377e-06         1.2774e-15        4.87326e-14            0.22174        3.48503e-11        0.000498641        3.52867e-07        8.30444e-15        4.47133e-16        4.88333e-06          0.0444086        6.67296e-05        0.000515216        7.04993e-15        4.14126e-06        1.17388e-18            0.73276
7        0.000188388        2.51184e-05          2.718e-05             101325            1.08208          2.718e-05            313.723                  0         0.00465084         5.2641e-06            938.392        2.43234e-06        2.71576e-15        2.37125e-14           0.221404        5.17359e-11        0.000695854        4.88586e-07        1.69623e-14        9.26762e-16         6.8224e-06          0.0443156        0.000101402        0.000707574        1.49162e-14        6.04241e-06        2.61636e-18            0.73276
8        0.000213506        2.51184e-05        2.67431e-05             101325            1.06468        2.67431e-05            318.836                  0         0.00643728        9.36006e-06            1791.07        3.59808e-06        5.89022e-15         1.0045e-14           0.220953        7.80369e-11        0.000961419        6.73378e-07        3.46743e-14        1.93061e-15        9.42874e-06          0.0441899        0.000152094        0.000961072        3.18064e-14        8.71389e-06        5.99319e-18            0.73276
9        0.000238625        2.51184e-05        2.61896e-05             101325            1.04265        2.61896e-05            325.559                  0         0.00881712         1.7233e-05            3357.02        5.24859e-06        1.30761e-14        3.87778e-15           0.220358         1.2032e-10         0.00131364        9.24233e-07        7.12334e-14        4.06152e-15        1.28759e-05          0.0440228        0.000224846         0.00128965        6.87199e-14        1.24035e-05        1.42356e-17            0.73276
