# Time 0.000895
# eta = 0.002
# length = -2.71029e-05
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25592e-05        2.51184e-05        2.82891e-05             101325            1.12623        2.82891e-05            301.442                  0                  0                  0                  0        1.64873e-07        2.80722e-17        1.45007e-13           0.222475        4.40592e-12        7.10517e-05        5.37407e-08        1.57767e-16        8.20938e-18        6.86204e-07          0.0446091        6.31335e-06        7.78046e-05        1.20516e-16        4.77246e-07          1.827e-20            0.73276
1        3.76776e-05        2.51184e-05        2.82391e-05             101325            1.12424        2.82391e-05            301.976                  0         0.00070757        3.93242e-07            23.0801        2.34777e-07        4.89905e-17         1.6298e-13           0.222429        6.07675e-12        9.75514e-05        7.31969e-08        2.86801e-16        1.49557e-17        9.43706e-07          0.0445968        9.06595e-06        0.000106276        2.20952e-16        6.69949e-07        3.36053e-20            0.73276
2         6.2796e-05        2.51184e-05        2.81715e-05             101325            1.12155        2.81715e-05            302.699                  0        0.000932584        5.44023e-07            39.5214        3.41631e-07        8.80775e-17        1.54425e-13           0.222366        8.40334e-12        0.000133707        9.90118e-08         5.4564e-16        2.85401e-17        1.29692e-06          0.0445799        1.33685e-05        0.000144372        4.26103e-16        9.52627e-07        6.50744e-20            0.73276
3        8.79143e-05        2.51184e-05        2.80739e-05             101325            1.11766        2.80739e-05             303.75                  0         0.00127406        7.99921e-07            72.7634         5.1144e-07        1.65923e-16        1.28623e-13           0.222275        1.18882e-11        0.000186613        1.36077e-07        1.07787e-15        5.66253e-17        1.81534e-06          0.0445551         2.0316e-05        0.000199219        8.56517e-16         1.3887e-06        1.31852e-19            0.73276
4        0.000113033        2.51184e-05        2.79362e-05             101325            1.11218        2.79362e-05            305.245                  0         0.00176891        1.22879e-06            138.616        7.73324e-07        3.25325e-16         9.4035e-14           0.222145        1.70438e-11        0.000262314        1.88345e-07        2.16603e-15        1.14488e-16        2.55842e-06          0.0445196        3.11885e-05        0.000276416        1.75771e-15        2.04318e-06        2.74578e-19            0.73276
5        0.000138151        2.51184e-05        2.77462e-05             101325            1.10462        2.77462e-05            307.332                  0         0.00247066        1.95984e-06            267.784        1.16853e-06        6.58096e-16        6.01004e-14           0.221963        2.46575e-11        0.000368682        2.61049e-07        4.37626e-15        2.33252e-16        3.60319e-06          0.0444696        4.78295e-05        0.000383007        3.64082e-15        3.00529e-06        5.82662e-19            0.73276
6        0.000163269        2.51184e-05        2.74894e-05             101325            1.09439        2.74894e-05            310.198                  0         0.00344765        3.23647e-06            517.405        1.75404e-06        1.36226e-15        3.34443e-14           0.221712        3.59895e-11        0.000515735        3.61093e-07        8.84317e-15         4.7665e-16        5.04688e-06          0.0444003        7.28277e-05        0.000527618        7.57802e-15        4.39455e-06        1.25815e-18            0.73276
7        0.000188388        2.51184e-05        2.71498e-05             101325            1.08087        2.71498e-05             314.07                  0         0.00478527        5.52935e-06            991.061        2.60664e-06        2.87321e-15        1.61507e-14           0.221372        5.31448e-11        0.000715967        4.97668e-07        1.78618e-14        9.77051e-16        7.00971e-06          0.0443057        0.000109729        0.000720569        1.58566e-14        6.36735e-06        2.77499e-18            0.73276
8        0.000213506        2.51184e-05        2.67106e-05             101325            1.06339        2.67106e-05            319.222                  0         0.00658804        9.77433e-06            1871.88        3.82706e-06        6.17878e-15        6.82439e-15           0.220917        7.97947e-11         0.00098462        6.83163e-07        3.61546e-14        2.01551e-15        9.63673e-06          0.0441784        0.000163256        0.000973898        3.34793e-14        9.12298e-06        6.29742e-18            0.73276
9        0.000238625        2.51184e-05        2.61559e-05             101325             1.0413        2.61559e-05            325.976                  0           0.008981        1.78911e-05            3476.14        5.54327e-06        1.36055e-14        2.69589e-15           0.220317        1.22538e-10         0.00133982        9.34512e-07        7.36343e-14        4.20359e-15        1.30984e-05          0.0440097        0.000239506         0.00130125        7.17007e-14        1.29078e-05        1.48326e-17            0.73276
