# Time 0.000975
# eta = 0.002
# length = -0.000138243
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25592e-05        2.51184e-05        2.82675e-05             101325            1.12537        2.82675e-05            301.673                  0                  0                  0       5.11713e-310        2.22049e-07        3.26339e-17        5.58196e-14           0.222454        5.16347e-12        8.30916e-05        6.06861e-08        2.16895e-16        1.12982e-17        8.06427e-07          0.0446034        8.78697e-06        8.90592e-05        1.69367e-16        6.07702e-07        2.52598e-20            0.73276
1        3.76776e-05        2.51184e-05         2.8211e-05             101325            1.12312         2.8211e-05            302.276                  0        0.000818513        4.71499e-07            30.4399        3.12592e-07        5.77279e-17        6.22736e-14           0.222402        7.06622e-12        0.000113304          8.216e-08        3.87709e-16        2.02426e-17        1.10061e-06          0.0445893        1.24598e-05        0.000120784        3.05365e-16        8.44864e-07        4.57439e-20            0.73276
2         6.2796e-05        2.51184e-05        2.81369e-05             101325            1.12017        2.81369e-05            303.071                  0          0.0010708         6.4982e-07             51.441         4.4624e-07        1.05388e-16        5.82276e-14           0.222333        9.63802e-12        0.000153406        1.09918e-07        7.17047e-16        3.75601e-17        1.49214e-06          0.0445705        1.79951e-05        0.000161984        5.72535e-16         1.1816e-06        8.62406e-20            0.73276
3        8.79145e-05        2.51184e-05        2.80319e-05             101325            1.11599        2.80319e-05            304.205                  0         0.00144443        9.46656e-07            92.4923        6.53562e-07        2.00242e-16        4.76785e-14           0.222234         1.3415e-11        0.000210988        1.49066e-07        1.37039e-15        7.21179e-17        2.05498e-06          0.0445434        2.67099e-05        0.000220088        1.11366e-15        1.68956e-06         1.6935e-19            0.73276
4        0.000113033        2.51184e-05        2.78862e-05             101325            1.11019        2.78862e-05            305.792                  0          0.0019754        1.43671e-06            171.193        9.66563e-07        3.91661e-16        3.41886e-14           0.222096        1.89172e-11        0.000292118        2.03481e-07        2.66282e-15        1.41033e-16        2.84798e-06          0.0445053        4.00444e-05        0.000300495         2.2105e-15         2.4374e-06        3.41649e-19            0.73276
5        0.000138151        2.51184e-05        2.76879e-05             101325            1.10229        2.76879e-05            307.978                  0         0.00271645        2.26125e-06            320.888        1.42963e-06        7.82301e-16         2.1414e-14           0.221904        2.69454e-11        0.000404639        2.78299e-07        5.21096e-15        2.78391e-16        3.94661e-06          0.0444522        6.00251e-05        0.000409961         4.4362e-15        3.51773e-06        7.03589e-19            0.73276
6         0.00016327        2.51184e-05        2.74231e-05             101325            1.09175        2.74231e-05            310.945                  0         0.00373445         3.6833e-06            602.144        2.10286e-06        1.58884e-15        1.16919e-14           0.221643         3.8782e-11         0.00055846        3.80298e-07        1.02272e-14        5.52694e-16        5.44537e-06          0.0443794        8.94357e-05        0.000556707        8.97012e-15        5.05268e-06        1.47839e-18            0.73276
7        0.000188388        2.51184e-05        2.70765e-05             101325            1.07795        2.70765e-05            314.916                  0         0.00511243        6.20571e-06            1122.52        3.06576e-06        3.28063e-15        5.57333e-15           0.221292        5.65707e-11        0.000765877        5.18532e-07        2.01266e-14        1.10406e-15        7.46027e-06          0.0442811        0.000132012        0.000750544        1.82883e-14        7.19971e-06        3.18211e-18            0.73276
8        0.000213507        2.51184e-05        2.66321e-05             101325            1.06026        2.66321e-05            320.158                  0         0.00695165        1.08178e-05            2068.97        4.42079e-06         6.9096e-15        2.38688e-15           0.220827        8.40415e-11         0.00104183        7.05252e-07        3.98156e-14        2.22617e-15        1.01307e-05          0.0441499        0.000192634         0.00100292        3.77314e-14        1.01569e-05        7.06567e-18            0.73276
9        0.000238625        2.51184e-05        2.60749e-05             101325            1.03808        2.60749e-05             326.98                  0         0.00937307        1.95289e-05            3760.23        6.29618e-06        1.49249e-14        1.08986e-15           0.220219         1.2787e-10         0.00140405        9.57276e-07        7.94779e-14        4.55054e-15        1.36204e-05          0.0439774        0.000277495         0.00132685        7.91618e-14        1.41663e-05        1.63181e-17            0.73276
10        0.000263743        2.51184e-05         2.5393e-05             101325            1.01093         2.5393e-05            335.735                  0          0.0125178        3.65457e-05             6730.1        8.84705e-06        3.32274e-14        9.41638e-16           0.219435        2.00245e-10         0.00187301        1.29795e-06        1.60654e-13         9.4669e-15        1.81163e-05          0.0437535        0.000394188         0.00173675         1.6967e-13        1.95147e-05        3.94852e-17            0.73276
11        0.000288862        2.51184e-05        2.45798e-05             101325           0.978556        2.45798e-05            346.806                  0          0.0165459        7.09198e-05            11859.3        1.22541e-05        7.64745e-14        1.93237e-15           0.218437        3.23675e-10          0.0024716        1.75989e-06        3.29475e-13        2.00838e-14        2.38265e-05          0.0434671         0.00055168         0.00224809        3.72532e-13        2.65293e-05        1.00534e-16            0.73276
12         0.00031398        2.51184e-05        2.36365e-05             101325           0.941004        2.36365e-05            360.596                  0          0.0216338        0.000142548            20582.8        1.67192e-05        1.81858e-13         5.6647e-15           0.217187        5.39839e-10         0.00322455        2.38856e-06        6.85065e-13        4.33997e-14        3.09752e-05           0.043106        0.000760119         0.00287689        8.37744e-13        3.55687e-05        2.69201e-16            0.73276
13        0.000339099        2.51184e-05        2.25737e-05             101325           0.898691        2.25737e-05            377.507                  0          0.0279692        0.000295719            35215.1        2.24572e-05        4.45011e-13        1.91783e-14           0.215643        9.25266e-10         0.00415748        3.24684e-06        1.43882e-12        9.50832e-14        3.97971e-05          0.0426578         0.00103047         0.00363915        1.92268e-12        4.70082e-05        7.53556e-16            0.73276
14        0.000364217        2.51184e-05         2.1411e-05             101325           0.852402         2.1411e-05            397.917                  0          0.0357441        0.000629182            59462.5        2.96862e-05        1.11256e-12        7.18674e-14           0.213764        1.61782e-09         0.00529588        4.42035e-06        3.03357e-12        2.09589e-13        5.05313e-05          0.0421099         0.00137401         0.00455021        4.47495e-12        6.12218e-05        2.18167e-15            0.73276
15        0.000389335        2.51184e-05        2.01757e-05             101325           0.803223        2.01757e-05            422.162                  0          0.0451473         0.00136095            99232.7        3.86155e-05        2.82198e-12        2.90115e-13           0.211513        2.85804e-09         0.00666392        6.02331e-06        6.37135e-12        4.60405e-13        6.34158e-05          0.0414504         0.00180173         0.00562425        1.04782e-11        7.85635e-05        6.44868e-15            0.73276
16        0.000414454        2.51184e-05        1.88995e-05             101325           0.752418        1.88995e-05            450.514                  0          0.0563571         0.00296165             163933        4.94364e-05        7.23505e-12         1.2267e-12           0.208854        5.04851e-09         0.00828362        8.20469e-06        1.32284e-11        9.98149e-13        7.86853e-05          0.0406685         0.00232384         0.00687387        2.44898e-11        9.93509e-05        1.92411e-14            0.73276
17        0.000439572        2.51184e-05        1.76149e-05             101325           0.701275        1.76149e-05            483.172                  0          0.0695349         0.00641333             268579        6.23149e-05        1.87709e-11        5.29784e-12           0.205758        8.83331e-09          0.0101743         1.1154e-05        2.69936e-11        2.11892e-12        9.65729e-05          0.0397545         0.00294938            0.00831        5.68009e-11        0.000123854        5.76499e-14            0.73276
18        0.000464691        2.51184e-05        1.63513e-05             101325           0.650967        1.63513e-05            520.263                  0          0.0848226          0.0136815             437315        7.73899e-05        4.96397e-11        2.29298e-11           0.202197          1.521e-08          0.0123524        1.51065e-05        5.40587e-11        4.38875e-12        0.000117316          0.0387004         0.00368601         0.00994201        1.30525e-10        0.000152288        1.74292e-13            0.73276
19        0.000489809        2.51184e-05        1.51327e-05             101325           0.602456        1.51327e-05            561.844                  0           0.102343          0.0285429             709611        9.47738e-05        1.35139e-10        9.81443e-11           0.198149        2.57445e-08          0.0148319        2.03471e-05        1.06945e-10        8.90494e-12        0.000141165          0.0374991         0.00454007           0.011778        2.98515e-10        0.000184817        5.39651e-13            0.73276
