# Time 1e-05
# eta = 0.002
# length = 0.000983975
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25573e-05        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0                  0                  0                  0        1.70646e-23        8.71711e-28        4.55944e-23           0.222598        5.52843e-22        7.77764e-20        6.08633e-23        1.08601e-27        6.04072e-30        1.99749e-22          0.0446421        4.76664e-22        9.46313e-20        8.48701e-28        1.99579e-23        5.76944e-30            0.73276
1        3.76719e-05        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0        8.00104e-19        4.19688e-17         3.2282e-11        1.65967e-22        8.28183e-27        4.36227e-22           0.222598        5.31438e-21        7.53798e-19        6.04108e-22        1.01258e-26        7.30452e-29        1.96476e-21          0.0446421        4.64533e-21        9.17068e-19        7.96715e-27        2.01789e-22        5.55898e-29            0.73276
2        6.27866e-05        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0        7.73448e-18        4.02416e-16        3.09477e-10        1.73848e-21        8.48304e-26          4.493e-21           0.222598        5.50016e-20        7.86809e-18        6.45721e-21        1.02036e-25        9.48634e-28         2.0817e-20          0.0446421        4.87623e-20        9.57137e-18        8.08782e-26        2.19577e-21         5.7828e-28            0.73276
3        8.79012e-05        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0        8.07601e-17        4.16662e-15        3.20446e-09        1.80208e-20        8.59434e-25        4.57144e-20           0.222598        5.62594e-19        8.12473e-17        6.83926e-20        1.02065e-24        1.23339e-26        2.18481e-19          0.0446421        5.06662e-19        9.88251e-17        8.15819e-25        2.36915e-20        5.96534e-27            0.73276
4        0.000113016        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0        8.34034e-16        4.26276e-14         3.2795e-08        1.84435e-19        8.58364e-24        4.58245e-19           0.222598        5.67267e-18        8.28048e-16        7.16348e-19        1.01408e-23        1.60482e-25        2.26677e-18          0.0446421        5.19937e-18        1.00708e-15        8.18115e-24        2.52981e-19        6.08507e-26            0.73276
5         0.00013813        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0        8.50105e-15        4.29906e-13        3.30982e-07        1.86102e-18        8.41158e-23        4.51696e-18           0.222598        5.62812e-17        8.31671e-15        7.41073e-18        1.00211e-22        2.08906e-24        2.32212e-17          0.0446421        5.26235e-17        1.01135e-14        8.16537e-23        2.67047e-18        6.11329e-25            0.73276
6        0.000163245        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0        8.53896e-14        4.26622e-12        3.28845e-06        1.84833e-17        8.00311e-22        4.36842e-17           0.222598        5.48256e-16        8.21753e-14        7.56166e-17        9.83675e-22         2.7204e-23        2.34578e-16          0.0446421        5.24467e-16         9.9913e-14        8.09938e-22        2.78315e-17         5.9948e-24            0.73276
7         0.00018836        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0        8.43768e-13        4.15687e-11        3.20929e-05         1.8034e-16        7.21518e-21        4.13398e-16           0.222598        5.23002e-15        7.97158e-13        7.59793e-16        9.51186e-21        3.54504e-22        2.33353e-15          0.0446421        5.13776e-15        9.69054e-13        7.92068e-21        2.85948e-16        5.62397e-23            0.73276
8        0.000213474        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0        8.18552e-12        3.96647e-10        0.000306743        1.72473e-15        5.19131e-20        3.81561e-15           0.222598        4.87909e-14        7.57396e-12        7.50403e-15        8.16783e-20        4.61262e-21        2.27433e-14          0.0446421        4.93656e-14        9.20538e-12        6.92559e-20        2.89119e-15        4.21916e-22            0.73276
9        0.000238589        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0        7.77745e-11        3.70153e-09         0.00285417        1.61253e-14        5.53507e-19        3.42089e-14           0.222598        4.43107e-13        7.02813e-11        7.26714e-14        9.65706e-19        6.05569e-20        2.17096e-13          0.0446421         4.6406e-13        8.54003e-11        8.24946e-19         2.8708e-14        5.24532e-21            0.73276
10        0.000263704        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0        7.21694e-10        3.36307e-08          0.0263109        1.46911e-13        7.13435e-18        2.96364e-13           0.222598        3.90076e-12        6.34719e-10        6.88245e-13        1.26003e-17        7.95106e-19        2.02306e-12          0.0446421        4.25507e-12        7.71055e-10        1.07692e-17        2.79238e-13        6.88174e-20            0.73276
11        0.000288818        2.51146e-05         2.8421e-05             101325            1.13165         2.8421e-05                300                  0        6.51748e-09        2.96233e-07           0.238817        1.29917e-12        9.36368e-17        2.46395e-12           0.222598        3.30882e-11        5.55506e-09        6.35332e-12        1.65426e-16        1.04396e-17        1.83471e-11          0.0446421        3.79163e-11        6.74612e-09        1.41387e-16        2.65254e-12        9.03561e-19            0.73276
12        0.000313933        2.51146e-05        2.84209e-05             101325            1.13165        2.84209e-05            300.001                  0        5.70362e-08        2.51507e-06            2.12893        1.10984e-11          1.229e-15        1.94749e-11           0.222598        2.68273e-10        4.68638e-08        5.69297e-11        2.17186e-15        1.37068e-16        1.61347e-10           0.044642        3.26873e-10        5.68896e-08        1.85628e-15        2.45146e-11        1.18635e-17            0.73276
13        0.000339048        2.51146e-05        2.84202e-05             101325            1.13162        2.84202e-05            300.009                  0        4.81101e-07         2.0423e-05            18.7245        9.10439e-11        1.61293e-14        1.44383e-10           0.222597        2.05617e-09        3.78515e-07        4.92587e-10        2.85143e-14        1.79945e-15        1.36954e-09          0.0446419        2.71109e-09        4.59267e-07        2.43723e-14        2.19378e-10        1.55823e-16            0.73276
14        0.000364162        2.51146e-05        2.84146e-05             101325             1.1314        2.84146e-05            300.068                  0        3.88493e-06         0.00015701            164.487        7.11841e-10        2.11382e-13        9.83572e-10           0.222593        1.46631e-08         2.9015e-06        4.08773e-09        3.73993e-13        2.36076e-14        1.11516e-08          0.0446408        2.14823e-08        3.51827e-06        3.19761e-13        1.88933e-09        2.04595e-15            0.73276
15        0.000389277        2.51146e-05        2.83757e-05             101325            1.12985        2.83757e-05            300.479                  0        2.97701e-05         0.00112901            1478.28        5.25298e-09        2.75966e-12         5.9455e-09           0.222561         9.4904e-08        2.08647e-05        3.22346e-08        4.88467e-12         3.0863e-13        8.63982e-08          0.0446327         1.6117e-07        2.52785e-05        4.18274e-12        1.55315e-08        2.68606e-14            0.73276
16        0.000414391        2.51146e-05        2.81277e-05             101325            1.11997        2.81277e-05            303.128                  0        0.000214003         0.00755534            14134.5        3.60626e-08        3.53615e-11        2.98144e-08           0.222352        5.33478e-07        0.000138448        2.38001e-07        6.25131e-11        3.96784e-12        6.29446e-07          0.0445796         1.1306e-06        0.000167542        5.39167e-11        1.20384e-07        3.52292e-13            0.73276
17        0.000439506        2.51146e-05        2.68023e-05             101325             1.0672        2.68023e-05            318.116                  0         0.00142058          0.0499894             148905         2.2347e-07        4.23927e-10        1.07673e-07           0.221136         2.3685e-06        0.000822422        1.58579e-06        7.32866e-10        4.74275e-11        4.20979e-06          0.0442709        7.23177e-06        0.000993652        6.51403e-10        8.56081e-07        4.57361e-12            0.73276
18        0.000464621        2.51146e-05        2.22457e-05             101325           0.885765        2.22457e-05            383.264                  0         0.00848829           0.411333        1.60779e+06        1.13016e-06        4.10516e-09         2.2826e-07           0.215565        6.39267e-06         0.00396298        8.28904e-06        6.04676e-09        4.19579e-10        2.35873e-05          0.0428509        3.81733e-05           0.004778        5.97967e-09        5.01445e-06        5.43967e-11            0.73276
19        0.000489735        2.51146e-05        1.59166e-05             101325           0.633758        1.59166e-05            535.617                  0            0.04239            3.67521        1.23129e+07        3.65607e-06        2.15731e-08        2.79937e-07           0.201455        6.51738e-06           0.011931        2.35349e-05        1.95282e-08        1.50794e-09        8.39076e-05          0.0392376        0.000123524          0.0143575        2.27547e-08        1.79636e-05         4.3934e-10           0.732758
20         0.00051485        2.51146e-05        1.14478e-05             101325           0.455823        1.14478e-05            744.596                  0           0.142881            11.7427        3.70848e+07        7.91073e-06        6.09493e-08        3.94371e-07           0.181217        6.03862e-06          0.0233706        3.79011e-05        5.18402e-08        3.90836e-09        0.000182933          0.0340353        0.000252289          0.0280962        5.19675e-08        3.96234e-05        2.09511e-09           0.732753
21        0.000539965        2.51146e-05        8.54548e-06             101325           0.340259        8.54548e-06            997.306                  0           0.294642            21.7644        7.46965e+07         1.4116e-05        1.33201e-07        8.22178e-07           0.156411        9.12966e-06          0.0373969         4.8335e-05        1.51852e-07         1.1187e-08        0.000314905          0.0276436        0.000420449          0.0449248        1.28752e-07        6.97853e-05        7.34878e-09           0.732748
22        0.000565079        2.51146e-05        6.83355e-06             101325           0.272094        6.83355e-06            1246.89                  0           0.456477            64.9646        1.70925e+08        2.15077e-05        2.50787e-07        1.77026e-06           0.131945         1.9679e-05          0.0512282        5.22852e-05        3.89208e-07        2.84002e-08        0.000450767           0.021334         0.00060186          0.0614983        2.92394e-07        0.000103037        1.97748e-08           0.732748
23        0.000590194        2.51146e-05        5.73715e-06             101325           0.228439        5.73715e-06            1484.83                  0           0.592871            156.509        3.32181e+08        3.00153e-05        4.79896e-07         3.7462e-06           0.108332        4.48781e-05          0.0645616        5.09456e-05        9.34881e-07        6.78353e-08        0.000573943          0.0152579        0.000800305          0.0774537        6.18723e-07        0.000137679        4.87045e-08           0.732756
24        0.000615309        2.51146e-05        5.18539e-06             101325           0.206469        5.18539e-06             1642.5                  0           0.689104            264.737        5.18467e+08        3.66419e-05        8.36221e-07        6.90095e-06          0.0914897        8.71504e-05          0.0740453        4.74832e-05        1.82774e-06        1.31997e-07        0.000634405          0.0109524        0.000962586          0.0888083        1.06682e-06        0.000162242        9.65994e-08           0.732763
