# Time 1.5e-05
# eta = 0.002
# length = 0.000981464
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25566e-05        2.51133e-05        2.84195e-05             101325            1.13165        2.84195e-05                300                  0                  0                  0                  0        2.19079e-22        8.39618e-28        5.19982e-22           0.222598        6.08699e-21        9.74986e-19        8.92468e-22        9.75012e-28        9.16148e-30        3.14698e-21          0.0446421        6.21888e-21        1.18491e-18        7.69223e-28        3.28664e-22        1.66739e-30            0.73276
1        3.76699e-05        2.51133e-05        2.84195e-05             101325            1.13165        2.84195e-05                300                  0        9.94061e-18        4.58234e-16        3.37131e-10         1.9553e-21        7.70074e-27        4.53697e-21           0.222598        5.34382e-20        8.66346e-18        8.14131e-21         9.3676e-27        1.11241e-28        2.83715e-20          0.0446421        5.56685e-20        1.05274e-17        7.39095e-27        3.04991e-21        1.61791e-29            0.73276
2        6.27832e-05        2.51133e-05        2.84195e-05             101325            1.13165        2.84195e-05                300                  0        8.81495e-17        4.01487e-15        2.95481e-09        1.88723e-20        7.68646e-26        4.27786e-20           0.222598        5.07044e-19        8.32438e-17        8.02907e-20        9.85898e-26        1.45125e-27        2.76639e-19          0.0446421        5.38944e-19        1.01141e-16        7.77438e-26          3.058e-20        1.71067e-28            0.73276
3        8.78965e-05        2.51133e-05        2.84195e-05             101325            1.13165        2.84195e-05                300                  0        8.47107e-16        3.81028e-14        2.80545e-08        1.79718e-19        7.63292e-25        3.96909e-19           0.222598        4.73718e-18         7.8882e-16        7.82278e-19        1.04249e-24        1.89482e-26        2.66371e-18          0.0446421        5.14958e-18        9.58277e-16         8.2102e-25        3.03108e-19        1.80833e-27            0.73276
4         0.00011301        2.51133e-05        2.84195e-05             101325            1.13165        2.84195e-05                300                  0        8.02675e-15        3.55994e-13        2.62265e-07        1.68415e-18        7.52085e-24        3.61216e-18           0.222598        4.34446e-17        7.35192e-15        7.51177e-18        1.10545e-23        2.47459e-25        2.52671e-17          0.0446421        4.84386e-17        8.92986e-15        8.68702e-24        2.96335e-18        1.90633e-26            0.73276
5        0.000138123        2.51133e-05        2.84195e-05             101325            1.13165        2.84195e-05                300                  0        7.48052e-14         3.2649e-12         2.4072e-06        1.55056e-17        7.32774e-23        3.21697e-17           0.222598        3.90242e-16        6.72773e-14        7.09856e-17        1.17321e-22        3.23282e-24        2.35778e-16          0.0446421        4.47838e-16        8.17021e-14        9.18922e-23         2.8536e-17        1.99867e-25            0.73276
6        0.000163236        2.51133e-05        2.84195e-05             101325            1.13165        2.84195e-05                300                  0        6.84481e-13        2.93278e-11        2.16468e-05        1.39992e-16        7.01324e-22        2.79601e-16           0.222598        3.42423e-15        6.03278e-13        6.59034e-16        1.24234e-21        4.22472e-23        2.16098e-15          0.0446421        4.06238e-15        7.32475e-13        9.68493e-22        2.70235e-16        2.07448e-24            0.73276
7         0.00018835        2.51133e-05        2.84195e-05             101325            1.13165        2.84195e-05                300                  0        6.13711e-12        2.57348e-10        0.000190235        1.23678e-15        6.50578e-21        2.36374e-15           0.222598        2.92544e-14        5.28861e-12        5.99925e-15        1.30634e-20        5.52227e-22         1.9421e-14          0.0446421        3.60804e-14        6.41968e-12        1.01165e-20        2.51201e-15        2.11495e-23            0.73276
8        0.000213463        2.51133e-05        2.84195e-05             101325            1.13165        2.84195e-05                300                  0        5.37938e-11         2.1987e-09         0.00162873         1.0665e-14         5.1276e-20        1.93574e-14           0.222598        2.42898e-13        4.52013e-11        5.34224e-14        1.27785e-19        7.21298e-21        1.70325e-13          0.0446421        3.12996e-13        5.48538e-11        9.77332e-20        2.28713e-14        1.91172e-22            0.73276
9        0.000238576        2.51133e-05        2.84195e-05             101325            1.13165        2.84195e-05                300                  0        4.59701e-10        1.82569e-08           0.013554           8.95e-14        6.04816e-19        1.52776e-13           0.222598        1.95075e-12        3.75436e-10        4.64045e-13        1.60287e-18        9.46807e-20        1.45443e-12          0.0446421        2.64451e-12         4.5547e-10        1.22403e-18        2.03434e-13        2.45414e-21            0.73276
